	MF.103-11B+.LU	MF.103-11B+.SALM3.SI	MF.103-11B+.SI	MF.11CLOSER.SALM3.SI	MF.11CLOSER.SI	MF.169+11CHI.SLN	MF.BM	MF.II+480LO.PC	MF.II-480HI.PC	MF.LU	MF.MEDL.SLN	MF.MICROGLIA.CNS	MF.RP.SP	MF.SBCAPS.SLN	MF.THIO5.II+480INT.PC	MF.THIO5.II+480LO.PC	MF.THIO5.II-480HI.PC	MF.THIO5.II-480INT.PC
Trat1	3.425351877	3.405270832	3.352393327	3.56504875	3.495738647	3.761923493	3.598329471	3.428910623	3.435628594	3.365715864	4.395042229	3.611164509	3.48154867	4.5075473	3.546285365	3.595081898	3.537896547	3.38116799
Trav13d-4	8.167796459	8.164038283	8.295562985	8.214865857	8.124106937	7.35857824	7.579096908	7.811335943	7.94173567	8.125738567	7.282990163	8.464465428	8.682222248	6.981820695	7.984693584	8.010741988	7.819583675	7.948476257
Trav13n-1	7.366390413	7.103247675	7.044100086	7.22903027	7.059431642	7.109688597	7.004850414	6.984210323	6.885428346	7.128810285	6.855669589	7.418751318	7.363086368	7.163539992	7.266631021	7.062582629	6.902890392	7.352070506
Trav14-3	4.19504438	4.324119326	4.507318948	4.389816302	4.904225883	4.914612357	4.212771644	4.078885892	3.753629493	3.931415166	4.574924978	4.43908452	4.216273773	3.910718273	4.742250593	4.194943293	3.985227167	4.788438629
Trav14d-1	3.534503659	3.563417475	3.803663971	3.819693727	3.716371994	3.804858963	3.73078123	3.851965534	4.070354978	3.582102329	4.566388979	3.771477144	3.72065788	3.978813403	4.038518124	3.89219671	3.907381029	4.381733279
Trav14n-3	3.740798068	3.479922506	3.475748252	3.488126133	3.376420976	3.822638384	3.672745905	3.531314913	3.407416205	3.451000051	3.566681227	3.533854017	3.575344606	3.614061958	4.051192261	3.618915984	3.923637287	4.883286821
Trem1	6.435435244	8.131271792	7.554706258	8.92199903	7.141558065	5.124479097	5.834093445	6.882583547	6.170608784	10.03281661	7.507539372	5.177826126	5.23700659	5.28627497	5.051683869	4.942616155	4.774744898	4.530903082
Trem2	8.297798527	6.955644096	6.95904644	7.141391916	7.374185729	7.16882954	6.99232054	7.320396824	7.767471404	7.534512478	7.149854302	10.52319673	7.126505906	6.897852715	10.20740127	7.976850104	10.52467112	10.95253618
Trem3	5.931165352	7.054079507	6.445398725	7.62432575	6.151809308	6.163161568	7.944985691	5.767941649	5.580395763	6.859909103	8.059702454	5.744301949	6.655521182	6.538232397	5.392580748	5.418621747	5.369621191	5.364518739
Treml2	6.488835512	6.642709513	6.182515241	6.755854652	6.514080273	7.48328172	9.040272093	6.71736889	6.137994585	6.126384412	7.960522715	7.073848433	6.385439666	7.231609528	6.692398369	7.090836497	6.084957875	7.329222583
Treml4	7.845582882	9.889360866	9.904584198	9.698491024	8.280514866	8.592935738	9.237806199	6.410273822	5.007256809	8.576570383	9.590031009	5.658920752	11.76988698	6.894185991	5.495944543	5.668173032	5.202528734	5.283655131
Trf	10.78692004	11.30834826	11.41501702	10.96627823	11.94847287	9.044925742	10.85948928	11.67063331	13.18298832	12.471595	10.28262369	11.9318109	12.7939574	8.857891757	13.121965	12.28890477	12.59336629	13.14902341
Trfr2	5.780770711	5.492775325	5.537870226	5.455697917	5.241075169	6.225000117	8.733596803	5.403910747	5.401322136	5.331467566	6.122334159	5.943733048	5.533917334	6.342035544	5.475510796	5.424524643	5.481424888	5.432375977
Trib1	8.828038714	9.621204995	9.849908231	9.789003377	10.35929485	8.05820987	6.914548977	9.036653881	7.78501319	9.4611801	8.855751024	8.657302608	7.40972696	7.656563584	7.957525402	8.2095203	6.969616375	7.253136478
Trib2	6.147359618	6.471632542	6.120678674	6.46445549	6.318097709	6.400209153	7.487700178	6.346994699	7.161813463	6.279502249	6.5723622	6.69138155	6.509579201	7.420414187	6.212927245	6.273605403	5.813292943	5.961867924
Trim10	5.283166159	5.223169593	5.062626261	5.072139037	4.933870966	5.449442521	7.742971144	5.034048401	4.97154662	5.110353499	5.935987696	5.498054026	5.532436451	5.634391428	5.156362906	5.208047678	5.008497347	5.014768878
Trim13	4.305186234	4.486302483	4.815426116	4.686160123	4.946429566	4.448963704	5.839287785	5.1647474	5.38050551	6.086673386	4.83220647	4.660514147	5.640222759	4.919893025	6.202089859	5.048451271	5.870801983	6.038376185
Trim16	7.35065194	6.483964875	6.292610077	6.611414383	6.448908548	7.18704618	7.405595337	7.08969411	7.098790791	7.402960595	7.152767519	6.885658552	6.36758948	6.969301324	7.292588518	7.423408692	6.936264557	7.854985123
Trim29	5.611377495	5.44410299	5.253149178	5.31153127	5.057954477	5.633608485	5.489870433	5.225602708	5.156681104	9.291790322	5.286415449	5.51350022	5.550590838	5.220567933	5.777134743	5.368604238	5.552638361	6.129237674
Trim30d	6.788434496	8.350575921	8.364346055	8.495259642	8.075678412	8.319044333	5.228086257	7.729167756	7.273568728	6.954294425	8.885540047	7.544303513	8.472503612	7.171147268	7.425389086	7.480693817	7.086187898	7.238919941
Trim36	7.49746547	6.734379388	7.286316033	6.547966439	7.364329045	6.906737902	5.662946979	6.897739796	5.874597807	6.625390319	6.365968929	6.966207414	6.406212944	6.35650303	6.944792086	7.069119971	6.199002858	7.079307348
Trim47	8.770904019	7.584927184	7.831432301	7.499231017	8.410681995	7.277226482	7.130986109	7.323283891	7.866738426	7.851385719	7.510494787	8.516906835	7.731423127	7.532931719	7.863395851	7.05743222	8.188104817	8.29064864
Trim7	5.541149287	5.370462486	5.330979347	5.342027541	5.53469725	6.514927829	5.015024705	5.255478073	4.947892096	4.938812708	5.181444494	5.385288371	5.673823984	5.791440328	5.506763776	5.55110376	5.309217426	5.471320796
Trio	9.054478289	7.402989435	7.342118872	7.669502694	7.372350734	10.62809398	7.47848004	7.156254015	7.103433994	7.324167943	10.34013072	9.118363879	7.650551805	10.55237462	7.286547905	7.13272763	7.497568724	7.309692192
Trip13	6.373540336	6.811575388	6.446772331	6.941847838	6.909162493	7.209315913	8.732625351	7.253710102	6.661510195	7.491740882	6.39439924	5.859548867	6.253712622	7.036562676	6.456977497	6.628227281	6.308349953	6.512998499
Trip4	6.859215464	7.522888084	7.829817583	7.250124763	7.724088826	6.94114212	6.562537549	7.819632848	7.781955904	8.006897526	7.140135474	6.954948875	7.586492549	7.345378633	7.871822092	7.85805603	8.05584729	7.94396683
Trmt61a	6.297233611	6.514193288	6.412159223	6.577487743	6.557816262	6.670866531	8.082463632	7.051023641	7.130003497	6.576113437	6.724317388	7.220727853	7.0712657	7.008387722	6.794846444	7.213934027	6.883060719	6.775694114
Trp53inp1	7.663074516	9.295897187	9.753032824	9.604991947	9.779129847	7.232195931	7.504933102	9.097870166	8.64465402	8.506282982	7.754469995	7.992074254	8.904132915	8.968455989	9.435559702	8.953201885	8.95393315	9.567073081
Trpc6	5.438766907	5.209932885	4.976899735	5.059040476	4.949764625	5.339787663	6.338259788	4.777574015	4.718958858	4.884702106	5.857433662	5.447667351	5.055859398	5.484276721	4.939854995	4.881868514	4.956409846	4.780939959
Trpm2	6.956462121	9.511173582	9.27943624	8.958079956	8.340729601	7.220381714	6.905143878	7.550935029	7.526425684	5.866672289	6.570096291	7.800651666	10.69324524	6.501009139	6.798523643	7.372678782	7.098929363	6.902647247
Trpm6	5.203649481	4.963133062	5.121767941	5.054557652	5.044436088	5.548163782	5.071887064	5.095155059	5.298366277	4.975582805	5.552752084	5.319020541	5.198441767	6.096987067	5.147298557	5.187832397	5.179526974	5.15536741
