	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Naglu	7.845339919	7.550616745	8.736256696	7.495116306	7.086160999	6.773341444	7.921498021	6.547771383	7.255172124	7.29444109	7.400327009	6.702250274
Naip1	4.481552975	5.42008317	4.533069076	5.062713213	4.960931756	4.932341542	4.538608517	4.38719019	4.3966767	4.459031543	5.021988964	4.848652983
Naip2	7.537708924	6.866385661	7.362332241	7.614115959	7.587891002	7.102989446	7.263166208	6.489311716	6.121994484	7.166290145	6.985807411	7.118192026
Naip5	6.908411837	6.754816702	6.220253845	8.401654072	8.056488155	7.69952549	6.472026295	5.304463584	6.691843998	7.590331047	7.873575969	7.628748811
Naip6	7.477908261	6.372934691	6.041077211	7.284014345	7.25114815	7.702070382	6.748431713	5.271162318	5.665456729	6.386820429	6.401640705	7.364487076
Nanos1	6.001860027	5.868623804	6.108168966	5.611588482	5.716565703	6.096895733	5.9999211	6.117666995	5.993455858	6.038705038	5.700898348	5.640353405
Napb	4.702288142	5.562511092	5.069391405	5.494445479	5.100889368	5.108054633	4.929252884	4.906537092	5.205177438	5.083585697	5.321620287	4.651697529
Napsa	10.78833609	8.699687483	10.56167872	9.327550548	8.592762114	7.747264081	10.21305414	6.862411715	9.178815212	9.153352903	9.449763844	8.228218404
Nav1	7.429441893	7.146383856	6.695089526	6.637973888	7.495468658	7.30712611	7.372257971	5.868786757	7.269268837	6.824121194	7.280241221	7.378456134
Nav2	5.619946048	6.055881084	6.355775693	6.065269277	6.46373361	6.071924952	5.967816476	5.433682243	5.940515634	6.03684946	6.339115407	6.004283398
Nbea	4.673654409	5.507385554	4.800986157	7.041560231	7.121593607	7.897813597	4.751035177	4.752111653	5.213895479	5.851075627	6.277378539	7.727226161
Nbeal2	7.806326421	8.178230608	8.6267685	8.742529291	9.093994439	8.842516815	7.839820424	6.789842691	8.628343828	8.537898035	9.645249941	9.142283234
Ncapd2	10.56454587	9.839986112	10.40506074	8.917149367	9.849292235	10.37894672	10.45759316	9.971799021	9.988986116	9.703194507	9.490322761	10.85958724
Ncapg	9.161232427	8.129152911	7.309204691	7.169157364	7.91152881	9.237263588	9.357597968	9.715733131	9.017209568	8.840624836	7.064089206	9.462888098
