	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Clec7a	7.824375182	5.661494518	6.446440967	5.096829687	5.973047158	5.270971151	8.043202493	5.040011294	5.00853619	4.794745959	5.740027169	5.111732452
Clec9a	9.229067133	4.647786503	4.383317218	4.283030305	4.569606532	4.100560024	6.769177986	3.914798895	4.037316324	3.971819421	3.887583757	4.325505147
Clk3	9.110420494	8.751359443	8.735667712	8.867326005	9.020333474	8.839671171	8.614727755	8.599729519	8.717146024	8.788333345	9.134569214	8.78434186
Clmn	4.250898429	4.696191391	4.351779073	4.333278217	4.473706832	4.364964568	4.497889084	4.231236544	4.722190028	4.403680154	4.590717778	4.170473923
Clnk	6.464185763	6.673217192	5.256825742	7.426834731	6.411088922	5.686374461	6.083787778	5.032213274	7.896642104	7.712543164	8.085186149	5.573256357
Clspn	8.169322751	7.723646611	6.759463022	6.559171077	7.41022463	8.097857439	8.193148477	8.283935427	7.464951241	7.378645569	6.538396412	8.075558302
Clu	5.892229098	6.202261963	6.163789872	6.728336417	6.837961738	6.715982119	5.889714458	5.765457836	5.805827691	5.898585668	5.704201538	5.841600827
Cma1	4.925383927	5.451380928	5.142918483	4.906744716	5.0865262	4.976811162	4.949245431	5.027645072	4.955907913	5.042696862	4.800097461	4.841432258
Cma2	4.209065995	4.968166803	4.514993297	4.109059618	4.402089995	4.517993712	4.035870202	4.328915431	4.229876279	4.333362905	4.203738869	4.109648902
Cmah	7.079842791	5.854953135	5.079992438	6.236599126	5.36909186	5.645897601	6.566482342	5.667365633	7.247614263	4.589970171	5.383912763	6.213992656
Cmbl	4.103416508	5.28921477	4.463188659	4.408859021	4.386298235	4.350584466	4.210994017	4.500958167	4.480349148	4.557140471	4.438155319	4.380383138
Cmklr1	5.900166418	6.057383118	5.829449601	5.454985208	5.872649848	6.018140077	5.773623651	5.568675153	5.744391209	5.72143555	5.750851221	5.496999138
Cmpk2	8.464896393	7.682808531	7.20691472	7.43118166	7.310261646	6.647962502	7.452295336	8.2652538	7.364491891	7.544662729	7.643212604	6.865779659
Cmtm3	10.43222907	9.03029745	9.317128494	8.939180337	8.648214953	8.827352232	9.29461669	7.001042196	8.770681235	9.038540438	8.697437571	8.905843962
Cmtm7	10.41438338	10.45850971	10.84171079	10.23827384	9.526442313	8.974896173	10.63234535	9.03657023	10.28993058	10.21441463	10.16186296	9.283878608
Cnbp	11.52433597	11.93364546	11.40763756	11.96544012	10.72628101	10.99675706	11.78212478	11.98692617	11.94175062	11.90772821	10.93855533	11.21705379
Cnga1	3.999004799	4.129060413	4.127754325	3.882561539	3.915527275	4.080097643	4.028359922	4.085322671	3.939014954	3.894938993	3.910022651	3.812785709
Cnih2	6.182608217	6.501045774	6.316958478	5.995519191	6.789897452	6.670455615	6.11572828	6.145258646	6.109541303	6.132332123	6.352401314	5.972646708
Cnn3	9.848189858	7.298264233	7.995402168	6.936792211	6.09160887	8.327632729	9.538492962	7.905809973	8.174671816	6.566331892	6.454942998	9.399726847
Cnot6l	10.03961448	9.980155647	8.587400873	10.48243562	10.22766415	10.35632648	10.09876207	9.039956205	10.28394029	10.25550581	10.68135421	10.74310093
Cnp	9.803948494	8.581046322	8.853661998	8.413629904	7.739042706	7.218888991	8.917591177	9.152447358	8.354027395	8.3386555	7.902642624	7.666928044
Cnr2	5.530405817	7.57182999	7.185461226	5.882179193	6.37149904	6.815530174	5.385375813	8.428928554	5.250179018	6.02931042	5.764107257	6.843698115
Cnrip1	5.653484277	6.581831764	5.776358456	7.726369631	6.608145391	7.724026506	5.896621419	5.45418412	7.364879673	7.227696318	7.453247584	8.627758752
Cntn1	4.745106433	5.151793887	4.442994349	4.531019572	4.474518246	4.800594508	4.577811482	4.632003503	4.647467061	4.476511304	4.520489301	4.498107229
Cntnap1	4.935791309	5.347022465	5.495139763	4.71787014	5.197900767	5.326554126	5.060569128	4.926658921	5.181929438	4.828641736	5.318500029	4.95703005
Cobll1	7.285507026	7.143755639	6.537682784	7.982305327	8.107684208	7.468288427	7.152301069	6.087881798	7.988584149	7.834684357	8.82685426	8.124553538
Col14a1	5.971015427	6.712954759	6.327846018	5.863825322	6.272005143	6.127649786	6.075698768	6.000614142	6.27428496	6.240419283	6.033997029	5.87428672
Col17a1	6.128911991	6.46616866	6.439658041	5.944069744	6.57307757	6.311681722	6.183685662	6.146877164	6.264076602	6.080650203	6.136526368	6.248293836
Col8a2	5.958743709	5.819019233	6.300846112	5.716063541	6.115862116	6.308758883	6.107161268	6.061243728	5.94841279	5.739700964	5.928061536	5.591664459
Colec12	5.399014964	5.035777848	5.338938977	5.003615728	5.174913702	5.103775969	5.272018211	5.203831512	5.100103022	4.997723706	5.070316333	5.789420181
Colq	6.417988622	6.898951401	6.512853162	6.428162495	6.490469048	6.262964273	6.515572644	6.358255587	6.436324273	6.302662683	6.195061446	6.446737599
Coq10b	7.536949901	7.381192942	7.461823197	7.100439829	6.665108953	6.855018773	7.361794965	8.027013295	7.276560406	7.238278617	6.659065895	6.951024132
Coro2a	9.290927121	8.408916254	8.623007197	9.10250723	9.204888747	8.077083807	9.033473752	6.164507743	9.079934323	8.741532378	9.246775033	7.991283456
Coro2b	5.525554217	5.586511064	5.84444173	6.344638563	6.931264653	7.115673841	5.270070396	5.333389741	5.798878712	6.063099501	6.916265241	7.547600205
Cox6a1	9.355454394	8.784474864	9.527792488	8.303619121	8.428191674	8.712962666	9.356046653	9.912874819	8.492009981	8.469980984	8.638719598	9.050497072
Cox6a2	8.744357008	7.527106706	7.090252535	6.91875036	7.242018412	7.145080624	7.883752561	6.700486189	7.382934362	6.860912531	6.95380611	6.97752207
Cox6b2	7.568362026	7.837056734	8.049981199	7.329956853	7.065141438	7.755482269	7.46819582	9.703655838	7.445493319	7.962573893	6.852239433	7.387026007
Cp	4.84718015	4.714355433	4.535953401	4.075877718	4.412257635	4.752600533	4.729226455	4.387286709	4.276001538	4.136757392	4.335316506	4.287664366
Cpa3	5.881102537	9.441839806	9.746872235	7.941357344	5.140431026	4.586314394	6.998344835	4.711368252	4.689740848	8.870847387	5.696982359	4.360455583
Cpd	8.022982122	7.683737503	7.406464108	7.615565393	8.406956103	8.404451443	7.793820469	7.525092831	7.354654911	7.63671089	8.026306722	8.930813314
Cpe	4.769447343	5.284691794	5.110527506	4.68943895	4.862651407	5.207913669	4.912632302	4.948121894	4.856507699	4.94363304	4.960973445	4.950029753
Cphx	5.884611759	6.479685698	6.221238448	5.722365834	5.713366809	5.710589726	5.88796711	5.860265111	5.894245421	5.611526517	5.619210503	5.631099916
Cplx2	5.617476771	6.170226533	5.78658068	6.114283032	6.052733231	5.831319913	5.88234959	5.769035132	5.633136189	5.695599968	5.842833885	6.383434734
Cpm	4.853789438	5.09890586	4.978952175	4.774498931	4.996685511	5.152092808	5.039944054	4.72255619	4.585890937	4.768951793	4.965045436	5.59939814
Cpne2	7.690263431	9.127735541	9.977826412	9.501656422	10.38624229	7.231987854	8.021322405	9.13086422	9.020758588	9.685385247	10.42435598	6.841597683
Cpne5	5.426480584	5.676285747	5.81535426	5.084456926	5.401679384	5.501556976	5.452193459	5.302412278	5.289338361	5.269457736	5.308669098	5.346896628
Cpne7	5.758468419	5.843252767	6.097071371	5.788062705	5.761020152	6.046750781	6.076914623	5.936145572	5.711247094	5.694192103	5.744388966	5.464045774
Cpne8	3.436646033	4.007191015	3.905277081	5.005983775	4.506785987	3.955402706	3.49567811	3.489215364	3.46556967	3.642782425	3.821802039	3.693604041
Cpox	8.338604027	8.104318836	7.497344909	7.705068791	8.060826147	9.408949432	7.89093444	10.84328642	7.463067788	7.655088813	8.014587577	8.817617982
Cr2	4.280488698	5.25633514	4.564365973	5.175853235	5.015695294	5.281249424	4.45678425	4.718076621	4.618626298	4.609899721	5.113110089	5.23629744
Crabp2	5.341490062	5.788192375	5.463181028	5.212980404	5.184346423	5.321620287	5.519825979	5.399745323	5.280991564	5.206852221	5.190762335	5.09699339
Creb3l1	5.690688995	6.083383588	5.853094929	5.477275804	5.677074072	5.607704133	5.589987143	5.507575841	5.516815721	5.55238322	5.356992412	5.381584479
Creb5	6.141268604	6.453850065	6.504330129	5.996284036	6.365890215	6.481281717	6.271091334	6.152594139	6.147414571	6.07729962	6.209669104	6.210938187
Crim1	6.230832569	8.486343517	6.81564459	9.018614054	9.055572844	8.993277993	6.413284913	7.503898864	8.314137282	8.445484008	9.276527993	9.345067322
Crip2	6.197793328	6.443886743	6.141159589	5.826911128	5.916205118	6.00384956	6.021334622	9.063027215	5.925954334	5.557895584	5.723112542	6.745307932
Crispld1	5.392773059	6.407867665	5.580077128	8.81246956	7.265590044	6.916231398	5.664218284	5.627783371	7.874092718	8.313573514	8.487863877	6.994332503
Crmp1	5.243180332	5.525844939	5.312667594	4.845076838	5.185051166	5.103224853	5.129131869	5.181227807	5.143809709	5.051456938	5.014362733	5.171136757
Crot	8.314594422	9.093093466	7.654000339	9.42488039	8.63735243	8.435288547	8.393788422	8.073790784	9.010446423	9.055708537	8.939823462	8.909361048
Crtam	5.097508265	5.644281722	5.310222558	5.184698176	5.41746662	5.513563384	5.427263112	5.41724156	5.195788529	5.190834092	5.127535611	4.9784565
Crtc3	7.622806657	8.119074179	7.424504488	7.43410526	8.465613473	8.30710698	7.280454054	7.187708867	7.469232758	7.792615274	8.489261132	8.074323729
Crybb1	6.797935126	6.599168993	7.15325544	6.743484899	7.126842456	7.128825747	6.955612327	6.907265648	6.862998683	6.673769816	6.830950353	6.916860556
Cryl1	8.741622146	7.907660429	8.515690378	7.782393711	7.185924014	7.76316566	8.330557653	8.475072923	7.872367688	7.634242571	7.295409574	7.879535772
Csf1	5.438451442	6.027643966	6.62708976	6.200370297	6.430364454	6.257695836	6.053063536	5.309418145	5.749636164	6.054650983	6.619839945	6.111825286
Csf1r	10.72578895	7.307366135	9.39614443	5.459243619	6.439311185	6.535164934	10.25132614	5.511107447	6.637755134	5.929364942	6.228753928	6.494677211
Csf2ra	8.860213061	8.100384285	8.693812979	8.085448558	8.701543974	8.330692242	8.531419802	7.750292623	8.227764417	8.271472366	8.61791909	7.642535159
Csf2rb	9.20881124	7.592565796	8.971262747	7.566676153	7.240093264	7.32898572	8.522194014	5.198527549	7.128485708	7.306370708	7.897596618	8.161359672
Csf2rb2	9.05047721	6.853122383	7.030873825	7.09044945	6.906978357	7.140336947	7.560461748	5.570535793	6.197971514	6.430033482	7.232981107	7.641829584
Csf3r	6.295962352	8.205137841	8.30725759	8.351337543	8.251890899	7.861036023	7.536322085	4.817523493	9.325041855	9.006381765	9.327333996	7.748524296
Csgalnact1	4.875154236	6.399212118	5.090410281	8.528256659	8.635846757	6.355551958	4.810230574	5.556064557	6.789654924	8.67158034	8.519586721	6.398334977
Csmd3	3.925005641	4.451412251	4.062412456	3.886907769	3.996735217	3.829876615	4.01993019	4.029183404	3.894536471	3.968311979	3.844469349	3.821495937
Csprs	5.249098911	6.865282919	4.529123371	5.524184899	5.486129755	5.150865621	4.859128062	4.671508515	5.150208302	4.95813043	5.375441476	4.644300471
Csrnp1	7.770257977	7.579643288	7.588893494	7.926279191	7.367598216	7.217525107	7.282277314	6.678924027	7.976450708	7.753572113	8.02535775	7.718664725
Cst3	13.0619481	11.53659687	12.15752723	11.43183722	10.44030239	10.44912866	12.46099622	10.4565398	11.57162756	11.46029913	10.75059551	10.49881954
Cst7	9.751425838	8.996962778	11.11857614	6.407609948	6.139556127	6.325306055	10.24730435	6.752633535	8.247194827	7.426654314	6.212603058	5.643795595
Ctla2a	4.172335493	8.541527423	6.379444218	10.20649513	7.982638464	6.529617956	4.698787071	5.350737676	9.383755801	10.11681315	9.326544314	7.844037844
Ctla2b	5.699649719	7.170990599	6.445584912	8.898303295	6.903502699	6.799367112	6.201597924	5.910814195	8.160119752	8.66204328	7.754438594	6.570308847
Ctla4	4.923082608	5.681040181	5.258953527	5.007799489	5.060698814	5.312184728	4.83661764	5.09065657	5.068950209	5.058716948	5.086589888	5.031809806
Ctnna1	10.80118003	9.311045185	8.149715116	8.950639973	8.534211953	9.064621704	9.208870077	9.416648501	8.852841734	9.010258563	8.945341215	9.531889921
Ctnnal1	6.308089609	6.531987265	6.149243104	7.794610379	8.101678788	9.671158007	6.361840282	6.222679	6.318774165	6.901679679	6.617718209	8.729324697
Ctnnd2	7.410484142	6.678218421	6.194016114	5.858789175	6.064814606	6.130600077	6.684337666	6.078642922	6.343797759	5.975056919	5.969139743	6.357067213
Ctps	7.853072466	8.37388851	8.407102592	7.577920973	7.555994794	8.14109588	8.195226679	9.105196149	7.772636567	7.966678767	7.241557705	8.126366084
Ctr9	9.526428097	9.499763089	8.767721993	9.20165918	9.213441093	9.320439623	9.703545508	9.45944248	9.624099432	9.283118573	9.360534229	9.417342947
Ctsb	10.64097423	8.67345537	9.776972229	9.448423745	8.698948162	9.171476317	9.685766971	9.014853059	8.813014917	9.091548444	9.073711445	9.024589793
Ctsc	9.712949086	8.36894226	8.781434797	9.120177127	8.018587257	8.850438363	9.408554992	7.653209454	8.712600767	8.878258946	8.496308812	9.115256851
Ctse	7.05239633	7.817799427	7.003090966	7.856035154	7.606490593	7.889696209	6.706763063	11.38612609	6.991189052	7.360046852	8.39702597	8.298533229
Ctsf	6.066141586	6.895700083	7.062601335	7.631811726	7.122593349	7.14475272	6.395707206	6.129822896	6.849109807	7.013924473	7.454912848	6.693588012
Ctsg	10.07660345	9.63496003	12.70543944	5.410171478	5.641101862	6.09935763	11.94112753	4.860920599	7.685424408	7.75045577	5.942832723	5.53432623
Ctsh	10.13454585	5.500805239	7.873512196	6.573891024	6.164203001	5.682444078	8.570677331	4.282999427	5.43804495	5.570572222	6.470316138	5.98611736
Ctsk	4.548635957	5.220171281	4.536425963	4.910926095	4.724346495	4.787643155	4.683385802	4.737053957	4.652618425	4.824161937	4.856864548	4.670163347
Ctsl	7.652266106	7.528395112	7.739626264	8.478856158	7.713312502	7.880418199	7.089856859	8.130983107	7.598520788	7.713644613	8.233397104	8.478795096
Ctss	11.43988006	7.266022834	8.006468774	8.931192641	6.784985063	6.045385449	10.34695977	5.515428618	9.143676443	7.530098451	7.939372345	6.643706863
Ctsw	6.203329077	6.580615098	6.099235582	7.4495622	6.402746617	6.701834574	6.163846215	6.062754221	7.230776061	6.77800943	6.888561835	6.800950361
Cuedc1	5.912940418	6.65658146	6.347705809	7.563376288	7.978459932	7.770328244	5.924599547	5.509464663	6.823091414	7.186024579	8.407008382	7.529490291
Cx3cl1	5.781084264	6.375728458	6.267170584	6.644558611	6.776046507	6.094841289	5.638808517	5.925848734	6.089027741	6.195129051	6.442303814	6.177819152
Cx3cr1	9.874132791	7.562620987	7.291650213	6.31634912	6.856547952	6.567220411	9.10404804	6.620719824	6.616029748	6.522021998	6.705082618	6.419451248
Cxcl1	6.777530182	7.144706162	7.032565205	6.495775097	6.89088237	6.788486047	6.967877175	6.613933082	6.872629944	6.59353081	6.461259513	6.573199542
Cxcl10	5.620686105	6.108386453	5.737086415	6.150645645	5.922120922	5.551917907	5.667174004	5.570672398	6.039233825	5.94982321	6.425915222	5.458614953
Cxcl11	5.038573725	5.357131451	5.074376986	4.941547693	5.151939974	5.222774942	5.244457078	4.921978953	4.913753497	5.047126094	4.896970904	4.916381099
Cxcl13	4.692546227	5.214626086	4.793308075	4.748386091	4.752377524	4.856413078	4.66649908	4.608135039	4.497500599	4.698349071	4.544087605	4.629400337
Cxcl15	3.664801381	4.291953434	3.579715185	3.53589121	3.702491325	4.21233328	3.817067219	3.832014007	3.71717739	3.494454013	3.564573279	3.690355632
Cxcl16	5.353510321	6.18980776	5.437720451	5.391029873	5.5944112	5.335504694	5.093548908	5.174686045	5.215787299	5.491373721	5.355173704	5.445466833
Cxcl2	4.747562847	5.329677958	4.842766015	4.69430077	5.154669613	4.97729519	5.05190714	4.861479018	4.899738771	4.489655321	4.931380494	4.618993288
Cxcl3	4.225560294	4.607975313	4.968898681	4.18539614	4.65903782	4.436159618	4.40716464	4.170261591	4.460703253	4.271298673	4.321127177	4.332238892
Cxcl9	5.440747381	6.022232415	5.5960804	5.493513911	5.432414954	5.397623869	5.328640224	5.646647987	5.483709385	5.595785596	5.512190007	5.221828758
Cxcr2	3.756276096	6.270964301	6.169458722	4.171631181	8.154418993	4.600557201	5.180486053	3.674087726	4.400978458	4.827491333	7.199759689	4.477832726
Cxcr3	6.819642214	7.079244759	6.464555008	6.799199148	6.680333265	7.173338011	5.983877549	6.306201166	6.533508063	6.459627517	6.413030984	8.421802281
Cxcr5	4.300279947	5.066425062	4.735908433	4.875313175	4.556272037	4.896226633	4.426743337	4.300380018	4.528208724	4.334124873	4.521699887	4.337814546
Cxcr6	4.952819664	5.689964436	4.67037016	5.389508304	5.473632159	5.025647508	4.796379714	5.017262749	4.871092049	5.1537486	5.421104332	5.12418543
Cxx1a	7.862232747	7.959165042	8.534832908	8.11261361	7.738012296	7.775690821	7.690503001	7.149779123	7.664937877	7.895325345	8.0135434	7.806714906
Cxx1c	6.228749439	6.458714191	6.858058517	7.74127821	7.449196528	6.91774919	6.293807587	5.760770503	6.948882888	7.238654562	7.565680437	6.623722767
Cxxc5	8.53518062	8.898153017	8.295080745	9.419790555	9.171616921	8.889243337	8.415272763	7.24433862	9.225463291	9.183862622	9.554094503	9.210824614
Cybasc3	10.84644761	8.865882017	9.491258196	9.632763512	8.343311432	7.903752128	9.792274226	8.420832902	9.323246093	8.800188728	9.05474268	8.979126336
Cybb	9.77546038	5.54404947	7.824860967	6.754085337	10.09421271	6.866411008	8.875254497	5.030545757	5.191491588	5.528033646	9.436840053	6.49162385
Cycs	10.03068162	9.625293689	10.55597486	8.729729834	8.123025516	8.593193396	10.18459322	10.78159962	8.785604004	8.976137338	7.963174495	8.573253327
Cygb	6.390688319	6.794157198	6.918030368	6.480345916	6.817684222	6.64129843	6.562449526	6.333343224	6.529334501	6.458002151	6.534877122	6.297706835
Cym	5.980857033	6.494941164	6.231481691	6.197292717	6.373790293	6.368728778	6.09640313	6.278313778	6.316701493	6.242009835	6.348639053	6.369730814
Cyp11a1	4.47885535	5.317926285	5.937928917	4.763714317	4.760675155	4.448379003	4.684231518	4.52330162	4.869720912	4.760439197	4.683295962	4.627933625
Cyp17a1	4.795495101	5.07658261	5.157224305	4.575062178	4.77964845	4.984739718	4.99894314	4.555322291	4.801973435	4.402196894	4.538623001	4.390272156
Cyp1b1	5.258454854	5.251717199	5.127673171	5.005283202	4.775512397	5.141432791	4.874459281	4.992102209	4.816717452	4.682002961	4.803106462	4.806452956
Cyp27a1	8.240067021	6.84943763	7.049257558	6.988399149	6.680372652	7.625566636	7.259963534	6.103636112	6.587304227	6.50409438	7.249099543	8.051562161
Cyp2a5	4.848062027	5.491763326	5.077795584	4.862876186	4.974530842	5.160171278	5.002641019	5.094003767	4.943398618	5.112408229	5.366690564	4.977518063
Cyp2ab1	5.097666975	5.388122361	5.155563056	4.849780804	5.097702086	4.986912984	4.998454286	4.951454914	5.183438874	4.8427149	5.037650176	4.854546779
Cyp2j6	4.298020398	5.830048652	5.462287948	8.416554209	7.292573488	5.90519363	5.117808614	4.162971312	6.990936146	7.521857943	8.317521754	5.92338335
Cyp2j9	4.846779119	5.825732212	5.773077651	8.56424033	7.305951678	6.77729302	5.996186098	4.766923732	7.931579649	7.800105228	8.444155459	6.86394774
Cyp2s1	5.854685568	5.750238013	5.957596595	5.49678189	6.113937984	5.727505734	5.568133471	5.626043363	5.773665406	5.578632334	5.69280564	5.646081993
Cyp39a1	6.488241307	6.072318072	6.058672218	6.251876859	5.714985453	6.327878346	6.41797175	5.110720281	6.372255648	6.047586373	6.291869963	6.576615856
Cyp4f16	7.917042823	7.376240453	7.807605869	8.033336915	7.536616861	7.456675845	7.708517884	6.427650586	7.182224498	7.602023656	7.462478551	7.371648157
Cyp4f18	7.371197854	5.391817545	6.45654553	4.862844785	6.087133247	5.188764876	6.44667916	4.920957797	4.829588289	4.680580351	5.741604508	5.518075569
Cyp7b1	4.229572542	4.762433865	4.390500315	6.559419412	5.986080944	5.898908888	4.240405926	4.113537987	4.871163529	5.522862393	6.251131419	6.043801618
Cyp8b1	5.242493264	5.984064079	5.743143314	5.423471724	5.720037631	5.642892147	5.311705333	5.687552051	5.578449683	5.350737676	5.473064951	5.30226238
Cyr61	5.914284663	6.62982287	6.247159137	6.020051724	6.074896427	6.037574041	5.965501104	6.088759623	6.101597554	5.794912276	5.970522385	6.017423112
Cysltr1	5.889727436	5.418120781	4.887489528	5.839270146	4.771742992	5.167216071	5.380537834	4.622590716	5.016340311	4.619914756	4.957295549	5.695590225
Cysltr2	3.665597426	4.869735715	3.987296608	7.094514432	6.018850752	4.358128967	3.700480409	4.008867807	5.738205779	6.191720555	6.213326542	4.058584919
Cyth3	7.304249395	7.476149969	7.042260925	7.664936219	7.520287874	7.517372027	7.127803496	9.963062744	7.16998912	7.199724359	7.763755475	7.741734939
Cyyr1	5.346519643	6.228704232	5.731111721	6.070823645	6.342220486	6.647008398	5.498479595	5.966020867	5.599985719	5.869935546	6.159378248	6.808832284
D030028M11Rik	7.130322756	6.858674193	6.04208104	5.951637525	6.715702134	7.303795358	7.063559746	6.330901645	6.688978293	6.465109241	6.321512659	7.495528086
D130062J21Rik	6.382343313	6.1865065	5.215911521	7.026325352	6.767935912	6.675744905	5.613449143	5.502841349	6.083566551	6.493042829	6.712381634	7.583047405
D14Ertd668e	5.359671092	5.971505618	5.438190812	5.642922945	5.607195163	5.181220517	5.185899574	5.335752993	5.426955741	5.51490811	5.411863463	5.09704608
D17H6S56E-5	11.23993309	10.12373796	10.74757577	10.6587014	10.01860946	10.25611954	11.0175299	10.65970197	10.78416152	10.75353142	10.39171073	10.46018633
D17Wsu104e	8.910593166	8.531160555	9.877900809	7.898390976	7.102117789	7.233410047	9.130212225	9.118066888	8.035942213	8.074158058	6.864432146	7.246863608
D18Ertd653e	8.015194798	7.534080673	7.455260085	7.222056505	7.005576271	7.127791117	8.184352705	6.41693683	8.253643296	7.472074643	7.314869301	7.475871615
D19Ertd737e	7.507861489	7.590733745	6.373112814	7.575355196	7.406003135	7.655903468	7.477995391	7.430590542	7.493217801	7.481005832	7.402846648	7.833569756
D2Ertd750e	9.802540975	8.28439383	9.105595672	7.202184241	7.777823184	8.320697222	9.402335695	8.66274082	8.513713189	8.348998524	7.373731722	8.385259319
D730005E14Rik	7.26151107	8.075736378	6.643111086	8.811109948	8.074427119	8.5910332	7.116128017	8.172064414	8.158974418	8.459887102	8.716054507	8.951997143
D830030K20Rik	3.648158617	4.999490458	3.651954828	4.724450187	4.341324005	4.462263951	3.655359462	3.539320136	4.646649427	4.779661581	4.592793876	4.553354359
D8Ertd82e	6.583585773	6.194235814	6.316351534	5.834964821	6.13918364	5.842369621	6.522100226	5.873957116	6.21588823	5.639560669	6.278082039	6.049201642
D930014E17Rik	9.717459317	9.317970702	9.548543744	8.796491983	7.810388689	7.768798552	9.5318131	9.492484438	8.647440618	8.9675567	7.905182596	8.051330226
Dab2	5.162867952	5.704642376	5.547793228	4.918976105	5.457676365	5.741344734	5.406253201	5.158296629	5.312481848	5.028995621	5.198022608	7.324851098
Dach1	4.936520163	8.610411614	6.580228915	8.499071858	9.38401893	7.96783069	5.698609294	6.770835652	7.05016373	8.846933905	8.815829005	6.96157587
Dad1	10.29633607	10.32260933	11.01349899	10.34448163	8.10812435	8.252023724	10.50287751	10.79869823	9.935820229	9.960170237	8.228153295	8.29614993
Daf2	3.813483645	4.602287615	4.069725078	4.134215462	4.084478187	4.239377673	3.830201229	4.245830285	3.857508311	3.904541901	3.804177497	4.000076641
Daglb	7.329784082	7.822889129	9.01565655	7.860877157	7.49501101	7.492857023	7.786712226	8.253758865	7.517591051	7.764480849	7.803639496	7.821154686
Dapk1	7.145221617	8.186849888	7.206915045	8.040314748	7.95900522	7.996237705	6.699016668	8.165874766	7.239441483	8.236490944	8.246673152	7.991408467
Dapk2	5.229222589	6.576745841	5.898596954	5.31345629	5.526948312	5.894280188	5.116230274	7.313097982	5.322852927	5.400935777	5.309088855	5.197519455
Dapl1	5.058978806	5.172283482	4.727581064	4.657196001	4.858539724	4.770363927	5.110844841	4.703432977	4.836073084	4.583440858	4.728704197	4.46200977
Dapp1	8.823422017	10.71752084	9.019654013	10.98391305	10.93528669	10.00526902	8.81216329	8.572349314	10.68309918	11.02693641	10.99336403	10.06657144
Darc	4.852386768	5.355174879	4.734229093	4.89912567	4.986065011	5.775775746	4.661521596	4.965871998	4.752566638	4.733598385	5.014840276	4.923127782
Dbi	9.375173845	8.977598913	10.24717801	8.679500508	7.101047006	7.223320535	9.535706695	9.134543887	8.614681873	8.766935655	7.571766546	7.717115685
Dbn1	6.574387152	6.8865093	6.872473376	6.165331797	6.490119218	6.518171062	6.444238024	6.374628292	6.421341134	6.214805766	6.441583073	6.713549421
Dcn	5.439101147	5.901588579	5.536191774	5.296253042	5.527361273	5.709212506	5.411298558	5.264001514	5.424144449	5.354788886	5.246230716	5.289827089
Dctd	7.867610285	9.289952818	9.568063846	9.861864459	9.161407292	9.227366849	9.251783385	9.76867446	9.476669157	9.681730795	9.364108019	9.520651482
Dcun1d1	8.676635422	9.50185201	7.221402161	10.45542114	9.876891692	9.819030627	9.036385284	9.082645781	10.03867006	10.27887686	10.17030879	10.29004074
Ddc	5.076603274	5.428442251	5.328351799	5.017590881	5.04339992	5.554187706	5.047769571	5.222319641	5.106132619	5.024233232	5.029209913	5.19451064
Ddhd1	8.155021422	8.48400114	7.199565039	8.488394769	8.196583603	7.716929867	7.917660689	7.968862595	8.224295008	8.378015612	8.370235495	8.065433638
Ddit4	7.593436939	7.685811231	6.927678422	7.724546595	6.837310452	5.970820684	6.726380758	7.056686481	7.76412949	7.41354458	7.029618893	6.632751699
Ddr1	6.395520997	6.424699588	6.259989262	5.831442375	6.060497075	6.141961334	6.053401005	6.005898467	6.00665596	5.698057305	5.855767995	5.776715951
Ddx43	4.611561926	4.751252143	4.605334315	4.442419387	4.626380727	4.704652519	4.553141338	4.207974821	4.598409872	4.492590285	4.718473055	4.425405592
Ddx60	4.663631156	6.953496317	4.918017244	8.519854279	7.756018728	6.62201032	5.140799102	5.782134626	7.97989787	7.843849778	8.360956791	7.243120179
Decr1	7.792191188	8.009700714	8.075841004	8.471937585	7.394890795	7.793824587	7.926223043	8.615195752	8.145595181	8.366562862	7.780452935	8.020647761
Def8	8.05938286	8.79870216	9.532403073	9.768772092	9.383046435	7.986662361	8.404516727	8.674054526	8.913426206	9.584482086	10.01137119	8.309977174
Defb40	3.503225748	4.0256667	3.529791801	3.344653357	3.394065916	3.756930763	3.679314942	3.293576485	3.361424485	3.436495018	3.348713993	3.144878454
Dennd2d	5.784923574	7.771462728	7.211369512	8.741035012	8.122950996	8.086422877	6.084495903	5.939374696	7.522034164	8.244400705	8.289440731	7.95613973
Dennd3	7.569770816	7.479302924	7.362990262	7.810354625	7.656333329	7.433604079	7.098087192	6.428483289	7.448535937	7.305945905	8.078959878	7.857157118
Dennd4c	8.137610936	8.620518966	6.984441625	8.762787299	8.569397164	8.216009371	7.885241227	8.651332487	8.418173922	8.753817441	8.780740424	8.610949893
Dennd5b	5.452887511	5.544425108	4.871079725	6.14171752	6.473492542	5.502957475	5.456900311	4.743369549	5.092414658	5.706076013	5.923311637	5.677954963
Depdc1a	7.442392569	5.731138428	5.22616811	5.015507976	6.040725889	7.104641732	7.236142426	7.322497396	6.954257973	6.765609001	5.245507072	7.320318592
