	PRET.DN2.TH	PRET.DN2-3.TH	PRET.DN2A.TH	PRET.DN2B.TH	PRET.DN3-4.TH	PRET.DN3A.TH	PRET.DN3B.TH	PRET.ETP.TH	PRET.ETP-2A.TH	T.4.LN.BDC	T.4.PA.BDC	T.4.PLN.BDC	T.4+8INT.TH	T.4FP3-.SP	T.4FP3+25+.AA	T.4FP3+25+.LN	T.4FP3+25+.SP	T.4INT8+.TH	T.4MEM.LN	T.4MEM.SP	T.4MEM44H62L.LN	T.4MEM44H62L.SP	T.4NVE.LN	T.4NVE.MLN	T.4NVE.PP	T.4NVE.SP	T.4SP24-.TH	T.4SP24INT.TH	T.4SP69+.TH	T.8EFF.SP.OT1.12HR.LISOVA	T.8EFF.SP.OT1.24HR.LISOVA	T.8EFF.SP.OT1.48HR.LISOVA	T.8EFF.SP.OT1.D10.LISOVA	T.8EFF.SP.OT1.D15.LISOVA	T.8EFF.SP.OT1.D15.VSVOVA	T.8EFF.SP.OT1.D5.VSVOVA	T.8EFF.SP.OT1.D6.LISOVA	T.8EFF.SP.OT1.D6.VSVOVA	T.8EFF.SP.OT1.D8.LISOVA	T.8EFF.SP.OT1.D8.VSVOVA	T.8MEM.LN	T.8MEM.SP	T.8MEM.SP.OT1.D100.LISOVA	T.8MEM.SP.OT1.D106.VSVOVA	T.8MEM.SP.OT1.D45.LISOVA	T.8MEM.SP.OT1.D45.VSVOVA	T.8NVE.LN	T.8NVE.MLN	T.8NVE.PP	T.8NVE.SP	T.8NVE.SP.OT1	T.8SP24-.TH	T.8SP24INT.TH	T.8SP69+.TH	T.DN4.TH	T.DP.TH	T.DP69+.TH	T.DPBL.TH	T.DPSM.TH	T.ISP.TH
Cd69	8.3092338	7.465661901	9.919284508	9.559648968	4.969152025	5.061979197	6.122308962	10.38491057	9.368798136	8.348690095	8.998787288	8.490274753	9.042572843	7.704362718	10.52135493	9.121193827	8.186381454	8.381776676	8.141215971	7.752979791	9.033544414	8.957908023	8.226735057	7.715035577	8.533807242	8.644323367	7.90792716	9.196088394	9.053025783	10.7898258	10.56400359	8.196461231	6.378717956	6.520623395	6.53874611	7.208640483	7.273529876	6.587186443	6.371605906	6.446016864	8.240047934	8.507981175	7.601182946	7.400342381	7.794486375	7.42600555	8.542392845	8.345400072	8.08056067	7.814188508	9.060011525	8.362610446	8.764596955	8.421458118	7.305986932	6.354851169	9.691273825	4.978567851	7.100399879	4.705025003
Cd7	8.529539094	7.458538675	8.724794861	7.32159759	6.108968348	6.461779551	5.959683616	10.238249	10.20777355	8.992321012	7.761259007	8.597582074	8.115550218	8.765953925	6.12992041	8.560882673	8.749999448	9.712789837	7.629673298	8.294637749	7.730115717	8.710819173	8.529751594	8.527940236	8.062979741	8.894955055	9.460690149	8.673267847	9.041361913	8.321542874	8.760717065	6.83583504	9.918560607	9.946293693	10.04258983	9.384807057	9.311832158	10.13555017	9.601128148	9.965403988	9.56570379	9.93538102	11.29438543	10.59787853	10.68856199	10.70726747	9.993878967	10.13213891	9.763875843	9.926148901	10.43305559	10.81220552	10.09550564	10.27576039	8.746090352	6.256311864	7.943395688	5.933375135	6.182610866	5.816498165
Cd72	8.385401268	6.893286967	9.013721855	7.525538427	5.82797226	6.169089199	5.1968116	8.573683412	8.369922052	6.376374899	7.338571494	6.369301289	5.933321624	6.205172875	7.728106677	8.615101993	7.000334712	7.200703128	6.135804351	7.190620457	6.18549988	6.946962013	6.528800498	6.356636835	6.373957004	7.272137062	6.315158018	5.71089274	5.704594426	8.023785581	8.260810887	7.914780063	6.760222277	6.97158647	7.331818057	7.333752585	6.972112856	6.846179034	6.801036184	7.324331185	7.530813108	7.911343647	8.063038723	8.123307692	8.194007246	7.937324185	8.235026377	8.360259354	7.855919537	7.791950999	9.36531912	8.484782892	7.674279616	7.538536612	5.838922362	5.612585458	6.03163045	5.052604276	5.641029587	5.36836444
Cd74	5.206410101	5.683735749	5.882371602	5.428035163	5.612550074	5.226453297	5.551619576	7.218330093	6.548789549	5.773932169	6.729968716	7.202078101	6.899727091	5.578564409	7.606295148	7.987177779	8.154812035	7.680038068	7.244307379	7.465735356	6.87530826	5.773297482	6.085143472	5.78304799	5.412771365	8.032371571	6.655731059	7.895587804	7.677830262	6.361413373	6.285209847	6.375121993	6.069861102	6.189026574	5.924816066	5.65145645	6.409798793	5.769100829	5.736061823	5.589610702	5.666067266	5.378383301	6.921687042	6.303368882	7.194597312	7.858206088	5.723312813	5.567251346	5.328482256	5.564747027	5.733050583	6.425181208	7.221261652	7.552973869	5.804000194	5.675181743	7.122844557	5.371347438	5.584647879	5.023803875
Cd79a	4.326230522	4.615828235	4.415995221	4.322793452	4.373803631	4.494325999	4.421225544	3.879862572	4.572195432	5.425032906	4.835694215	5.471683884	4.522794406	5.129186834	4.400909029	4.633064968	5.238471618	4.690709479	4.783695862	4.892970578	4.496624259	4.60008536	5.472584165	5.415914121	4.699879178	6.252230666	5.451735333	4.777987739	4.899610694	4.10325703	3.900870027	4.049256106	4.655393811	4.804163726	5.136958312	4.708921091	4.758459535	4.853834341	4.771959507	4.890109408	4.509881603	4.609605265	5.363500518	4.753120455	4.967940944	6.275275292	4.975342817	4.957371397	4.740337557	5.702582747	5.112151026	5.06480814	4.588974422	5.032944226	4.476876327	4.809856858	5.211260152	4.232389587	4.560886112	4.242625369
Cd79b	8.047267356	8.645048445	8.296729493	8.144545321	7.548046099	9.147506239	7.828281223	8.213094658	8.070612853	6.270998552	6.306839122	6.321908859	6.851371352	6.315096413	7.11169629	7.582978182	7.013779908	6.708854434	6.700217748	6.850976066	6.078664624	6.478371096	6.260013734	6.439621475	6.600231092	7.544402889	6.216493668	6.436444491	6.311143414	6.718629223	6.908248894	6.967056181	6.53317189	6.464691136	6.705332414	7.082425487	7.03788734	6.768688959	6.669713735	6.588358352	7.417377163	7.344844767	6.96321978	7.086440924	6.670591105	6.968566579	7.794491032	7.651342593	7.296968501	7.307415167	7.653280284	7.621340549	6.827047094	6.730517688	7.486320452	7.172087423	6.76046315	7.06316603	7.625116791	6.81719516
Cd80	4.840085516	4.901458252	5.263986496	4.7817505	5.152505244	4.882162071	4.692036564	5.636977397	5.557489741	4.909931475	4.67399448	4.886670448	5.283150104	4.90624284	8.057460381	6.740855622	6.934985844	4.964571141	5.211652124	5.958177614	5.282695553	5.529387865	4.837812082	5.065027953	5.106107487	5.068824486	4.709446882	5.005311651	4.817065512	5.531562371	4.985832831	5.709729003	7.426065392	7.015395724	6.21942218	7.140218999	8.044944133	6.504716781	7.354296405	6.650376362	5.028930076	4.984419219	6.632858553	5.858416225	6.772951892	6.263060705	4.642664994	4.782558838	5.07152958	5.116374461	4.776751476	4.888069428	4.73752453	4.82378502	4.895110314	5.209316888	4.812720688	4.814427374	4.983255099	4.761019265
Cd83	6.174063469	6.294966219	5.969004246	6.255860418	6.409357556	6.504857115	6.136292573	7.030087735	6.554255766	6.642426251	7.357493064	7.232456744	7.022453262	6.720046298	8.336876503	9.120507726	8.765101243	6.738116136	8.108562266	8.608662527	8.563369169	7.310313761	6.206229697	6.902844579	6.584716771	7.072687329	6.945955273	6.641467515	6.678406711	8.215069257	8.71020708	7.705332759	6.808269198	6.571067469	6.876573425	6.443716043	6.487681422	6.885317706	6.661774774	6.259812298	7.016021554	6.652698725	6.585654127	6.544741155	6.882531175	6.671796737	6.681966897	6.860047791	6.912310146	6.811116479	6.561010901	6.855277972	6.765518393	7.191605418	6.308188533	6.752843127	6.772603139	6.396905561	6.726900227	6.222977753
Cd86	4.899140175	4.796151255	4.97095256	4.938699813	4.927122132	4.841768538	5.05953122	6.617606065	5.61294367	5.259877564	5.092378714	6.098760618	5.496827685	5.53494558	5.811929078	8.402038107	6.771162598	5.558996146	7.768594133	7.044307774	7.593432707	6.003429834	6.657014454	5.795754828	5.818784109	6.263106257	6.291832521	5.435080702	5.744134179	6.022283468	6.359423947	5.419255718	5.962729464	5.658486664	5.90151859	6.499639166	6.365414926	6.60312088	6.31015347	6.283174187	6.277218577	6.2208149	5.49220678	5.846225011	5.688634977	6.171728578	7.567314735	6.69815503	6.226470638	6.596081892	5.804146513	6.983713032	6.00882972	6.117385445	5.064589731	5.433347858	5.230250416	4.880514115	4.968136844	5.020231043
Cd8a	5.885719961	5.901565652	5.734132427	6.046925357	10.00339563	6.189097099	7.722611972	6.030453796	5.903561345	7.380731757	6.827268384	6.784005288	10.95416853	5.998932612	6.274166597	5.817074895	6.162037787	12.6976045	6.344921384	5.854239235	5.764649586	6.054588763	6.111941059	6.274995249	6.322600595	6.086021017	6.330021114	7.717709777	7.579865	11.93697004	12.02904224	11.73142326	12.50933288	12.4513694	11.98536936	11.69549742	12.43396283	11.83753919	12.47544186	12.08811394	12.21686246	12.28529091	12.65951317	12.13732257	12.4093799	12.24338351	12.37418374	12.57364766	12.29026195	11.94014352	12.45947935	12.48623726	12.6372787	12.42950102	11.35403294	12.3838848	11.55837441	12.63025707	12.78214062	11.75531183
Cd8b1	5.422073739	5.605103146	5.238857541	5.488898961	9.488813893	5.595569301	7.538266029	5.515660946	5.437104535	9.711993099	8.582808498	9.309689237	10.11788608	7.922870783	6.851881023	7.43432409	7.403201245	11.47861056	7.187207219	6.781210627	6.905622872	6.671144264	7.703262233	7.599207187	7.835821463	7.275188444	8.208668768	8.797936854	8.54183888	11.08131541	11.00232051	10.60175932	11.68821657	11.70274425	11.0404335	11.25728673	11.63515577	11.08860669	11.62554129	11.09328447	11.30312617	11.460392	11.51007141	11.19195516	11.4501679	11.2865013	11.69058637	11.7167519	11.55689275	11.51023851	11.67289663	11.58642285	11.60427257	11.5520584	10.3841985	11.5436766	10.57434073	11.6659501	12.00532102	10.7216223
Cd93	9.905627384	9.254865401	10.2033272	9.400260076	6.790937077	8.075653136	7.361804029	10.34170635	10.31685312	5.119596883	5.292886635	5.173459279	5.308831677	5.060342869	5.549138278	5.057285631	5.346744191	5.102817676	5.133304587	6.3583693	4.942340902	6.327971133	5.26434501	5.267726796	5.010822349	5.246686452	4.95287401	5.328178238	5.035975744	5.166502559	5.019245255	5.4296645	5.342160027	5.34024298	5.259867523	5.136535938	4.984683522	5.163533619	5.010958822	5.387567037	5.666742392	5.754271108	5.896355818	5.456098096	4.987134377	4.95333509	5.22144792	5.321899241	5.420522824	5.456601381	5.112814098	5.144769712	5.280644587	5.30689288	6.232361443	5.839561582	5.636344271	5.635436143	5.502235115	6.185098092
Cd96	9.671806642	10.25089527	9.763074067	9.950475923	9.075252187	10.01375	9.23758714	8.817780884	9.211088022	10.6408347	10.64667903	10.7283994	10.16949651	10.00637068	8.155356446	10.95189647	10.20285209	11.19573319	10.84282524	10.67342404	11.05294611	10.74452038	10.22322262	10.2236574	10.29010256	10.28315363	10.51981579	10.14597692	10.18500349	8.976784628	9.42697139	8.980538906	10.86540454	10.5568429	9.728623427	9.500692525	10.84919644	9.780494219	10.88919062	9.92066543	10.29502107	10.47876153	10.57379543	10.15018951	10.77397346	10.14641555	10.56047503	10.7745005	10.36116126	9.983847866	10.79438029	10.9386365	11.15788968	10.89414142	9.69645438	9.590473152	9.888234208	9.79270772	10.76134379	9.111173672
Cdc14b	6.091727334	5.834227051	6.009096309	5.876979763	6.281019393	5.551600095	6.069041181	6.191588311	6.459258649	7.211878887	6.927602577	7.189991875	6.808728264	7.150555615	7.647885295	7.984957268	7.780243816	6.720124299	7.211783191	7.188598736	7.218447315	7.173095444	7.284190524	7.566562762	7.459431619	7.577831744	6.872298936	6.610984455	6.394005304	8.315552343	8.366241042	7.868647878	8.746478939	8.283730746	8.116603623	8.907596943	8.794226527	8.448380242	8.612258985	8.604362834	7.939122533	8.548595117	8.738791251	8.057641157	8.351598959	8.505011864	8.257355311	8.440854499	7.911304694	7.81915914	9.179442626	7.403772452	6.841129455	6.58614923	6.545149313	6.249696893	6.189980019	6.525771872	6.886575347	6.239024997
Cdc20b	5.951564483	6.079145537	5.778926065	5.837477822	6.306470053	6.116286426	6.170620133	5.870569395	5.969943632	6.458903627	6.212445802	6.333318176	6.523429703	6.377051427	6.247013517	5.92234376	6.297307906	6.27503375	6.229010396	6.161027048	6.070784297	6.131140836	6.197716675	6.233118561	6.367800001	5.984669093	6.223919324	6.207467319	6.259088528	6.110661825	5.940716468	5.97309003	7.44996601	6.954273484	6.737254104	6.201160072	7.266317745	6.461267154	7.424175249	6.608987598	6.280557984	6.309960733	6.168912756	6.37253601	6.351127405	6.364481969	6.245605945	6.335386186	6.406156809	6.629030641	5.789668399	6.227118515	6.091273873	6.197176713	6.186707212	6.444718963	6.291368418	6.363466643	6.331195235	6.128560114
Cdc25b	8.245567759	8.705839188	8.037317697	8.555809063	8.472922302	7.588291883	8.612718754	7.032823038	7.400232213	7.222504161	7.262249915	7.201921979	7.020058394	7.766746649	8.545581036	7.986548979	8.188163763	7.807176506	8.345145886	8.882791387	8.39405734	8.760545649	7.584158275	7.416602481	7.427139333	7.976876399	8.275675549	7.099965964	7.066922268	6.7410485	6.979977301	7.892699144	9.064596916	8.676441612	8.632511432	10.0231168	9.736833322	9.690238866	9.257123639	9.299591694	7.911104918	8.269039694	8.27129914	7.826372112	8.377269973	8.648538185	7.95887766	7.671311538	7.508954671	7.965344484	8.163716086	8.378599044	7.579515072	7.162680342	8.682961938	8.119436244	7.404839842	10.16173462	7.476276366	8.620930305
Cdc25c	6.533660937	6.802847194	6.300755223	7.062731559	7.495076854	5.532844729	7.336865943	5.99019702	5.675886484	4.714914041	4.835964485	4.718929641	5.430374491	4.838309754	4.831242208	4.754012714	4.929440695	5.375018573	5.688344504	5.539875327	5.09010536	4.937162317	4.87900483	4.612680794	4.899958651	4.622051819	5.522736875	5.016827598	4.997610061	4.843471375	5.233275817	7.800482558	4.893320139	5.025755276	5.292976794	7.600072967	6.920058629	5.782294102	4.898783961	4.912106916	5.214459012	5.080053572	4.784753484	4.834468522	4.800061211	4.889223662	4.779028534	4.708424538	5.037751195	4.713541861	4.616198879	5.621897533	5.537664667	5.275267842	7.226641464	6.305862935	5.184643964	9.556096946	4.99524028	8.363923745
Cdc42bpa	5.364365818	5.094709007	5.233635014	5.361956052	5.616228291	4.879842973	5.224665451	5.365645884	5.43721442	4.369063934	4.576930219	4.442114122	4.85397403	4.635905269	4.718323263	4.705576176	4.780194595	4.33056796	4.292298316	4.319068727	4.258036438	4.35163304	4.522051563	4.845038354	4.745683735	4.41040895	4.429363777	4.489797663	4.673842824	4.417663518	4.340555148	4.359180275	4.386160254	4.413131433	4.770517221	4.47029824	4.405699708	4.653331405	4.362455862	4.434307964	4.517004769	4.248567725	4.28427475	4.573226056	4.456109598	4.214847526	4.170672871	4.471744571	4.642349229	4.587332984	4.244747552	4.242846364	4.497425018	4.463870905	5.025207495	5.050719348	4.857383894	6.152773602	4.650699468	5.729977776
Cdc42bpb	6.092373781	5.891806786	5.800032728	5.956263467	6.200249307	6.064521472	5.96523942	6.148189116	5.95095825	6.208147851	6.299083437	6.158145124	6.225360416	6.426751163	6.173727099	6.690398471	6.22551595	6.02760158	6.706425105	6.039008218	6.806400538	6.240867002	6.362479825	6.395189076	6.437639731	6.209509903	6.28955293	6.121304187	6.278486629	6.148892086	6.246855218	6.204899748	6.260862468	6.416487355	6.167475351	6.137335473	6.014997935	6.508480946	6.092609165	6.199498949	6.540349706	6.224899501	6.105270195	6.522080865	6.23793746	6.129079651	5.939877713	5.988241586	6.511768991	6.499422847	6.01791894	6.089796139	6.008569803	6.01758717	6.051097981	6.274469166	6.360345546	5.871105195	6.283366213	6.000570203
Cdc45	9.30528475	9.223481438	8.966242845	9.214032618	9.511671096	7.767308957	9.811495703	8.201753427	7.789202684	6.373987445	6.635144918	6.683484525	6.763803711	6.429792246	6.476755923	6.720647849	6.686828948	7.360799396	7.069036525	7.0850822	6.913688484	6.552105997	6.432609823	6.337017642	6.2754662	6.265980186	7.379842727	6.850223934	6.916574572	6.908395824	8.450171997	9.423926345	6.336336357	6.340074405	6.58854375	9.06529154	8.503279159	7.412750481	6.393678181	6.27123828	6.924850895	6.650338063	6.465411312	6.352214729	6.312662451	6.207767287	6.115525769	6.172154779	6.441871302	6.254067397	6.293730966	7.681023309	7.858025353	7.506514142	9.724684204	7.65778099	6.394298622	9.54159363	6.190176955	9.780433195
Cdc6	9.975035131	10.10980519	9.541790782	9.823764802	10.01945641	8.43341477	10.28956073	8.46895103	8.586554973	6.507684716	6.960471166	6.852207799	7.150259761	6.644410559	6.768215649	6.998171428	7.017950851	7.381362982	7.307842876	7.202397151	7.160225409	6.698791237	6.265313741	6.715130099	6.587380744	6.082849457	7.534575247	7.20851856	7.509217609	6.51470301	8.376581827	9.879005213	6.20426725	6.67968089	6.205723862	9.487330647	8.639862578	7.733720844	6.640594419	6.599256291	7.183532499	6.693735516	6.001708431	6.504826137	5.971574592	6.56092686	6.113557434	6.346930895	6.954931819	6.532301373	6.005030883	7.997387259	7.690650588	7.910635336	10.43312349	7.801373173	6.578395336	8.933921743	6.443737589	9.952746925
Cdca2	9.038182277	9.498915607	8.401032448	8.912076768	9.353248443	8.102087337	9.47766721	8.166780877	8.115913428	6.058051631	6.407074825	6.170536014	6.593067375	6.00051462	6.103273819	6.2846554	6.506309962	7.659041865	6.879795197	7.076204192	6.990707207	6.821088553	5.975484216	5.997402315	5.949018926	6.050549583	7.268065351	6.369499637	6.352534911	6.28849084	6.79758069	8.718915889	6.209445567	6.201203864	6.224063434	9.029462457	8.619317508	7.715038324	6.233778157	6.295017053	6.598839097	6.656277071	6.187241207	6.135217788	6.097800391	6.132094219	6.063710732	5.904070578	5.886819185	6.145288201	6.157828595	7.527629738	7.550392801	7.05845793	9.116114671	7.897157718	6.3572869	10.52646253	6.111503645	9.575955167
Cdca3	8.801871074	9.364559629	8.226897425	9.075881417	9.838451427	7.775854083	9.561745665	7.771687318	7.593861299	6.657289863	6.717830622	6.947763159	7.255186604	6.565748464	6.484077964	6.654901393	6.939060221	7.507612574	7.356966598	7.466656483	7.031081588	7.212185399	6.452847985	6.624870985	6.532600607	6.27784577	7.91466019	6.950801987	6.866244077	6.31617954	6.697155701	9.498823483	6.385854925	6.349482053	6.705166503	9.534313519	8.980224137	8.016138588	6.998177071	6.428136248	7.123773092	6.941374365	6.491748364	6.77123062	6.492857023	6.409098973	6.373890612	6.411698533	6.778417552	6.612573172	6.289588586	7.866645298	7.553326197	7.284982605	9.697854135	8.664231442	6.636138807	10.80521946	6.88148109	9.773922226
Cdca5	8.754304406	8.884833548	8.819932853	9.428436807	9.157720909	7.333943957	9.318140486	8.131835702	7.416432322	5.619547022	6.049711351	6.23997079	6.304357102	5.84275177	5.987593733	6.190741927	6.551463723	7.064997066	6.786391181	6.915008122	6.582134955	6.237141749	5.553164895	5.985107218	5.831463065	5.491405792	7.112125998	6.426431941	6.608756028	5.770398287	7.203882725	9.232811709	5.92970343	6.189048325	6.141065899	9.224058448	8.556582179	7.421299613	6.268885976	5.772706498	6.780335912	6.1863051	5.756409544	5.876094513	6.111835716	5.567525167	5.789163224	5.583167032	6.061010733	6.446239134	5.756711981	7.573540149	7.646900188	7.082465938	9.123207747	7.660916974	5.707796246	10.10938694	5.79254912	9.873167134
Cdca7	11.7888774	12.09603556	11.55282599	11.68566056	12.10324178	11.93104548	12.24535442	11.45101584	11.42328888	8.057239773	9.265014756	8.946355207	8.631665512	8.262864704	8.614247028	9.018056134	8.996482669	9.778191708	9.422684894	9.20801499	9.281652431	8.771240085	8.395624671	8.212221235	8.373774563	8.223093311	9.3238375	9.115398491	9.335593494	10.73555935	10.88553181	11.03521658	8.027197741	7.989589779	8.488676072	10.62072761	9.866632162	8.937165947	8.137044582	7.964982501	8.905833434	8.156888704	8.263924858	7.901685109	7.875103027	8.161165146	8.70501129	8.591000152	8.066159349	8.743329714	8.636827357	9.881191372	9.744151507	10.13636538	12.21167619	11.36110309	9.476645499	12.03446961	11.59568626	12.07836701
Cdca7l	9.661401642	8.9502071	9.964945186	9.682779831	8.770281326	8.670080944	9.041315912	9.798156712	9.331987413	7.435493308	7.801126961	7.80847365	6.828210972	7.801996707	8.32115349	8.222177933	8.024767072	7.823567017	8.159795165	8.418929072	8.270858121	8.144141227	8.246882763	7.877900452	7.670114473	7.917041579	8.547393017	7.682183732	7.968821901	8.658067087	9.02959957	9.481757966	8.244232048	7.63154208	7.885615239	9.485940441	9.171838559	8.505194126	8.166524318	8.180467321	8.618298865	8.566405089	7.957575315	8.064810116	7.877775226	7.939754129	8.303363097	8.14453351	7.718084843	7.773581456	8.202713355	8.724610371	8.199479155	8.257608316	8.642834039	7.116038233	6.682323276	8.094549619	6.287646514	9.094543725
Cdca8	7.7790975	8.18660034	7.680495962	8.18191056	8.82329091	6.596484478	8.633600736	6.994456025	6.550125716	5.246916007	5.775051859	5.804829715	6.057954189	5.228351823	5.437887979	5.549275897	6.117929794	6.844578984	6.996245614	6.835442843	6.474278656	6.242841284	5.33218995	5.2425174	5.150313926	5.149376238	6.792958571	5.896137811	6.110597103	5.776917249	6.523556729	8.989221622	5.619477572	5.680729425	5.796661343	8.975606305	8.512276672	7.141352062	5.80862874	5.699910633	6.063296561	5.917857372	5.309917091	5.238639755	5.517088257	5.346991155	5.166195896	5.162232867	5.561686612	5.378258436	5.345940382	7.212516813	6.926738768	6.490361541	8.534223498	7.397817505	5.795655272	10.17372922	5.75153424	8.960963987
Cdcp1	5.352795006	5.186878851	5.086913239	5.264296212	5.45846622	5.416852125	5.24001151	5.517803745	5.488531076	5.418915162	5.78369237	5.534814885	5.437082334	5.341267066	5.79434048	5.944106456	6.075808565	5.599662952	5.828683197	6.176850654	5.54421231	5.52927645	5.41547475	5.368365605	5.566227608	5.509430616	5.610626248	5.472911203	5.678739561	5.561216143	5.296440276	5.579503004	5.493422109	5.768361673	5.762366092	5.350986313	5.326872864	5.518825705	5.357038173	5.70346897	5.73977611	5.37811159	5.486774431	5.703424671	5.280208427	5.249876366	5.223145775	5.47130562	5.435531922	5.883277859	5.229590486	5.446394096	5.332965663	5.290683655	5.315810137	5.692291418	5.490083374	5.292266409	5.488262198	5.180737987
Cdh1	7.214804147	7.043726172	7.282216915	6.826582171	5.868808565	8.551353359	6.23874101	5.978300899	6.364751883	5.589278113	5.700271856	5.639332508	5.950237434	5.699250855	5.630573411	5.318163765	5.368024464	5.582480735	5.843710885	5.437388666	5.556230134	5.401427955	5.522665743	5.74821969	5.648737217	5.5098787	5.8100643	5.51170206	5.567320313	5.492568923	5.486944937	5.487946122	5.795948728	5.832516215	5.960538353	5.499911777	5.228780218	5.790691249	5.599551875	5.865417379	6.318049249	5.834856139	6.683615522	7.128306807	6.011782977	6.366154327	5.800034455	6.028512427	6.051066069	5.780634686	5.364945897	6.843073081	5.682252101	5.84899259	5.510282596	5.666190384	5.693711824	5.400056268	5.731384205	5.486675763
Cdh10	4.370661836	4.240856192	4.300464219	4.474591791	4.462549714	4.347060864	4.230689774	4.243879763	4.279545583	4.414221244	4.613608265	4.458524184	4.541337238	4.579045352	4.313224081	4.171753927	4.509692675	4.422885565	4.434512585	4.348130891	4.418579023	4.338586052	4.537196653	4.29007047	4.494905173	4.286578091	4.668937917	4.52530677	4.520204308	4.232540527	4.238205997	4.49075944	4.537434821	4.638112463	5.061940327	4.46296626	4.421142493	4.536372082	4.495347663	4.530397493	4.661006554	4.395949355	4.531364824	4.691106988	4.409645507	4.336714227	4.291323596	4.270596217	4.916116722	4.47438845	4.265244344	4.278869428	4.013515857	4.315817381	4.267483363	4.828611273	4.471835595	4.377952008	4.665517842	4.334363278
Cdh17	4.366103025	4.325918836	4.437737094	4.526278563	4.59242315	4.46311671	4.382217637	5.397992297	4.849393841	4.753987764	4.698901874	4.598339398	4.671400948	4.827773305	6.604601658	4.702984384	4.895763086	4.621182523	4.781851021	4.8340808	4.673499891	4.538527817	4.72618273	4.68479817	4.80431175	4.59156573	4.53955175	4.671225426	4.613959841	4.51929657	4.57437605	5.184926902	4.9201853	4.833593473	4.491455499	4.800789483	4.912279404	5.114793162	4.855797059	4.799317027	4.758431108	4.626150958	4.588248901	4.677705549	4.402019483	4.731380585	4.676658574	4.828563886	4.75879174	4.864557606	4.501619603	4.449521758	4.371359055	4.763806367	4.599462611	4.955398055	4.670902637	4.543221589	4.629871429	4.59679802
Cdh2	4.491985605	4.732299052	4.479298477	4.566595994	4.922591142	4.6381704	4.628763876	4.63230118	4.823891993	4.97051625	4.990498842	4.97160946	5.149636035	4.985667399	4.881191473	4.544876877	5.173910946	4.777673951	5.024802802	4.777954435	4.711522439	4.803183976	4.770030851	5.062818247	4.969735316	4.757794007	4.869361472	4.762462214	4.818918714	4.873772194	4.858125257	4.608090673	4.794875029	5.220306735	5.427037899	4.86708266	4.680761301	5.286517718	5.088175526	4.817005802	4.986823508	4.794989364	4.829817432	5.218128243	4.935122608	4.828047603	4.847806538	4.849363813	5.244630862	5.209354583	4.630985897	4.808980473	4.635462264	4.818514861	4.691696068	5.317796075	5.004739575	4.748210743	5.031109899	4.754287145
Cdh24	7.126553055	7.224941291	7.218870268	7.645334195	7.719540327	6.987404247	7.541453146	6.925809578	7.008877889	8.047989815	8.050774027	8.009546488	8.301656536	7.537774142	6.957736262	6.937405994	7.426219041	8.60331923	7.691053	7.25256105	7.595281355	7.167944278	7.613259059	7.502098504	7.688377261	7.654211212	8.24245976	8.330594551	8.304512563	7.269370771	7.052826318	6.880747962	7.532196938	7.482471591	7.951479393	7.414747804	7.4257807	7.766234045	7.54017687	7.74992595	7.366147915	7.100119145	7.540425138	7.772774777	7.473872127	7.878162931	7.101815684	7.187923759	7.400522844	7.282513013	7.592902485	7.620718602	8.583112486	8.023127063	8.278548887	9.029687076	9.145393507	8.662900114	9.046197363	8.08531488
Cdh3	5.324465006	5.455573814	5.28250838	5.3292797	5.55552272	5.414524575	5.554882477	5.289037665	5.499643417	5.652872692	5.539938897	5.633955221	5.798180154	5.677903769	5.547929948	5.306027654	5.341169198	5.542145561	5.458181835	5.403951636	5.367719349	5.395698067	5.469591895	5.630635534	5.48494209	5.334077486	5.555422509	5.587079904	5.733208798	5.404697663	5.27581908	5.389510025	5.616860506	5.43007782	5.915179069	5.450396377	5.390530122	5.687489998	5.560590649	5.666360838	5.642135472	5.369382725	5.692932075	5.837442499	5.48100664	5.481698271	5.432262381	5.408111745	5.894959197	5.571997306	5.369229156	5.307949404	5.285352895	5.425873273	5.593548986	5.589947207	5.579359186	5.28599767	5.573060397	5.271858898
Cdhr1	4.884128993	4.984103965	4.917240784	4.879945869	5.256489886	5.00921876	5.052179657	5.124649342	5.143226052	5.232073583	5.273797464	5.478209283	5.587220954	5.479504361	5.337119956	4.973990802	5.427420126	5.196717193	5.362447679	5.155617023	4.983255099	5.376607582	5.180901058	5.511471202	5.301470587	5.127197847	5.158599591	5.155982594	5.220059037	5.033461179	5.027027214	5.105881278	5.728748632	5.702204091	5.598496224	5.09219475	5.089005135	5.428256312	5.586901822	5.477711862	5.507031342	5.097374823	5.303489745	5.433463595	5.286960597	5.314712233	5.251455268	5.232484246	5.690683409	5.570596508	4.853260477	4.906018303	5.087114855	5.064428777	4.972125879	5.527916915	5.402041092	4.961669627	5.539320136	4.923615104
