	PRET.DN2.TH	PRET.DN2-3.TH	PRET.DN2A.TH	PRET.DN2B.TH	PRET.DN3-4.TH	PRET.DN3A.TH	PRET.DN3B.TH	PRET.ETP.TH	PRET.ETP-2A.TH	T.4.LN.BDC	T.4.PA.BDC	T.4.PLN.BDC	T.4+8INT.TH	T.4FP3-.SP	T.4FP3+25+.AA	T.4FP3+25+.LN	T.4FP3+25+.SP	T.4INT8+.TH	T.4MEM.LN	T.4MEM.SP	T.4MEM44H62L.LN	T.4MEM44H62L.SP	T.4NVE.LN	T.4NVE.MLN	T.4NVE.PP	T.4NVE.SP	T.4SP24-.TH	T.4SP24INT.TH	T.4SP69+.TH	T.8EFF.SP.OT1.12HR.LISOVA	T.8EFF.SP.OT1.24HR.LISOVA	T.8EFF.SP.OT1.48HR.LISOVA	T.8EFF.SP.OT1.D10.LISOVA	T.8EFF.SP.OT1.D15.LISOVA	T.8EFF.SP.OT1.D15.VSVOVA	T.8EFF.SP.OT1.D5.VSVOVA	T.8EFF.SP.OT1.D6.LISOVA	T.8EFF.SP.OT1.D6.VSVOVA	T.8EFF.SP.OT1.D8.LISOVA	T.8EFF.SP.OT1.D8.VSVOVA	T.8MEM.LN	T.8MEM.SP	T.8MEM.SP.OT1.D100.LISOVA	T.8MEM.SP.OT1.D106.VSVOVA	T.8MEM.SP.OT1.D45.LISOVA	T.8MEM.SP.OT1.D45.VSVOVA	T.8NVE.LN	T.8NVE.MLN	T.8NVE.PP	T.8NVE.SP	T.8NVE.SP.OT1	T.8SP24-.TH	T.8SP24INT.TH	T.8SP69+.TH	T.DN4.TH	T.DP.TH	T.DP69+.TH	T.DPBL.TH	T.DPSM.TH	T.ISP.TH
Tmem86a	7.220645962	7.040557684	7.172012893	7.09085343	6.885425093	7.211805898	6.728737296	7.430257112	7.487336811	6.991523357	7.053926424	7.114692886	7.166868061	6.853843903	7.431081068	6.857348641	7.07962398	7.134012107	7.214372229	7.032155222	7.088852887	6.808494887	7.062994127	7.011736769	7.15185273	6.945914611	7.012317998	7.269436853	7.154027194	6.853371941	6.720786913	6.695195574	6.742732497	7.193418582	7.055544917	6.823566805	6.561962	6.997628877	6.736809594	7.104896434	7.114727237	6.973999217	7.00019197	7.251864396	6.76499894	6.910273353	6.858804091	7.021101385	7.350814864	7.134369844	6.846000549	6.94839332	6.954152098	6.932176161	6.833214795	7.338148341	7.204050702	6.822098725	7.099175606	6.726746767
Tmem88	6.540323356	6.447732913	7.210725398	7.159113975	6.5715044	6.656724694	6.482020561	7.495187742	7.304529751	6.732375037	6.729588797	6.667909151	6.969275226	6.516225314	7.877671664	6.448536488	6.783505765	6.839152547	6.728408983	6.612820837	6.67116833	6.417192605	6.468816797	6.801112946	6.575432601	6.703378295	6.503296785	6.864852643	6.902183345	6.908564353	6.654907598	6.339256773	6.588146939	6.829832227	6.770385072	6.631796936	6.323788572	6.901191529	6.325115932	6.747975422	6.989575021	6.631769779	6.710404213	6.814240216	6.570412837	6.62694623	6.518708227	6.525140216	6.726879797	6.804940682	6.43434244	6.62619672	6.538273273	6.436853653	6.566386949	6.799881244	6.720965625	6.512337518	6.816112839	6.298999156
Tmem97	8.952436662	8.97230594	8.98702179	8.891261961	9.5514386	8.42431916	9.735781535	8.518810759	8.070612853	6.277570099	6.781689528	6.606982545	6.448606965	6.57866705	6.821322451	6.98484527	6.7078319	6.711391657	6.501171601	6.5958378	6.683274437	6.859602701	6.698522713	6.391318068	6.468073331	6.869104586	6.559856826	6.666096152	6.536143584	9.028588582	9.72160598	10.44674137	6.436960228	6.746056527	6.728889865	8.38495495	7.6558522	6.651723357	6.316829991	6.519393031	6.543551561	6.550105958	6.576899995	6.70178676	6.610941406	6.362977116	6.806662176	6.506374499	6.595213712	6.844371425	7.010470668	7.057848439	7.14657173	7.114639448	9.088000834	6.45959883	6.665425934	7.903004718	6.106736359	8.908646909
Tmem98	6.510536325	6.17596365	6.418568623	6.248149595	6.196914523	5.890421561	5.821744224	6.740378937	6.65364979	5.998638566	6.140451477	6.006409491	6.369089533	6.165713672	6.287956732	5.749836362	6.13094631	6.199300664	6.048845028	5.922993046	5.866753054	6.181544544	5.998461808	6.236246408	6.330657887	5.882037724	5.835086132	5.987412585	5.996228287	5.781917448	5.748598089	5.772714415	6.208235009	6.451295747	6.699984643	5.848656321	5.905232147	6.411938578	6.378475787	6.222728582	6.474073106	6.072791818	6.118037116	6.138267704	6.212306688	6.252598578	6.06844152	6.184146705	6.502668468	6.399396711	5.728776744	5.968215196	5.968364208	5.809308965	5.718320523	6.599271171	6.17696498	5.862557188	6.24832167	5.911827377
Tmie	5.872080957	6.010958822	5.809527633	5.735155229	6.241990139	6.047349344	5.948274553	5.90462539	5.967686234	7.501417383	6.901492042	7.445035544	7.485435415	7.814240643	6.145993944	6.404715827	6.642152082	8.149857011	7.39016867	6.803516803	7.067638717	6.641988615	8.145518166	7.56771605	7.123849811	8.43192074	8.423396786	7.716127579	7.656515677	6.446253472	6.626337891	6.331834176	6.288818099	6.292016034	6.557575513	6.139670037	5.896306567	6.342545857	6.39956647	6.35400895	6.76396036	6.262555933	6.157052471	6.650641793	6.128529527	5.840437217	8.169877078	8.187534028	7.841694329	7.740642257	7.759014426	8.707830289	8.425468117	8.388636865	6.175420806	7.209871167	6.893547066	6.06341234	6.94227169	5.798634665
Tmod1	5.306685127	5.322000228	5.077695907	5.384849355	5.763145073	5.389337357	5.399291883	5.505863413	5.365577067	5.818268574	6.051368839	5.811886277	6.134519416	5.740641583	5.595456914	5.62988891	5.896732004	5.960334853	5.991723639	5.908306147	5.599484432	5.736821317	5.490684575	5.789597981	5.462049046	5.281347733	5.521551237	5.922582421	6.028779824	5.551263755	5.321217393	5.578876839	5.589699579	5.940557525	5.73834226	5.530920764	5.489421978	5.629103033	5.808963317	5.721453779	5.917376854	5.769629825	5.769685358	5.626215706	5.64941571	5.695241286	5.482119009	5.515747139	5.899808846	6.085964914	5.438811809	5.405044997	5.828050142	5.923838504	7.123331664	6.122018996	7.173179747	5.363445616	5.93656649	5.345520569
Tmod2	4.910580774	5.030859115	4.834170154	4.733216031	4.985819172	4.905615652	5.020754052	4.929339691	5.145846575	5.141505	5.130873227	5.084738953	5.367431643	5.119805739	5.07347751	4.625438054	5.100841022	4.892926877	5.297394426	4.907954591	4.889759068	4.987527037	4.908246092	4.996260682	4.9866999	4.868729972	5.003779115	5.039082814	5.090171715	4.989179889	5.014550199	4.996903903	5.003734148	5.239749354	5.332416143	5.059472094	4.918583415	5.334072419	4.985388095	5.161573318	5.399416081	5.098586589	5.130346098	5.362625933	5.039276602	4.939604287	4.953580319	4.968680615	5.511522858	5.333882852	4.829616194	5.009917424	4.763563839	4.965354875	4.976716475	5.236977262	5.20517092	4.888662082	5.042936115	4.775189289
Tmprss3	7.422762531	6.682288157	7.443559826	6.819610071	6.421228911	6.626725798	6.401340342	7.964886841	8.036702504	6.640102709	6.635321257	6.408209706	6.624264695	6.564863863	6.627047433	6.492611648	6.816253454	6.578576485	6.857452325	6.583511562	6.742046645	6.662780393	6.487788594	6.572555729	6.493745792	6.289824323	6.466559149	6.53714073	6.471020502	6.376755739	6.416092648	6.428005004	6.518501043	6.496388845	6.774410197	6.428112234	6.273321304	6.691668155	6.308487085	6.672308412	6.768466218	6.388548903	6.336691618	6.636731912	6.61318685	6.509758645	6.473828573	6.350539089	6.806172802	6.675042448	6.14620784	6.452947895	6.180814222	6.640281576	6.265438771	6.426847866	6.273114256	6.266174358	6.40049979	6.355975909
Tmtc2	5.298630214	6.086489755	5.154107217	6.505953634	4.890192115	5.266394274	4.995538789	5.34386259	5.133994987	5.069594768	5.147495979	4.974244783	5.2340414	4.974472717	6.055956982	4.985298524	4.666171443	5.008598934	5.091523541	4.801225925	4.881382382	4.913743127	5.057141193	5.215932223	5.059928452	5.048337556	5.241359714	5.451111082	5.228843056	5.728081048	5.229245665	4.670735551	4.792513548	5.081059777	5.363209633	4.773082048	4.843015694	5.059352393	4.85566253	4.761529958	5.164700478	4.688747326	4.712496736	5.236879071	5.15326017	4.615926299	4.946395564	4.858534751	4.919363921	5.189985289	4.71550721	5.001838265	4.812301403	5.378715066	5.011430038	4.990546493	5.352138204	4.924961317	4.72981377	5.159704526
Tmtc4	6.543765487	6.510718286	6.488248271	6.629964173	6.887496027	6.462315218	6.83788565	6.154582534	6.080909175	6.607056546	7.300473829	7.205025563	6.232069105	6.877104955	6.791631336	7.642889982	7.431853168	6.54429733	7.001238532	7.283793087	7.181286124	7.166383719	6.889717703	6.753737787	7.058584378	6.813436506	6.693899495	6.812161472	6.822411921	7.258682544	7.372156667	7.359259356	7.387241898	7.158181486	7.048451998	6.924586879	6.919232806	7.019322364	7.020773309	7.042239763	6.819649451	6.939623092	7.356729551	7.207865528	7.361799936	7.421266787	6.875676869	6.88096749	6.836897834	6.874082981	6.995975887	6.789459308	6.922675178	7.078990468	6.915621682	6.349983254	6.587535516	6.739162228	6.213557254	7.315106379
