	MO.6C+II-.BL	MO.6C+II-.BM	MO.6C+II-.LN	MO.6C+II+.BL	MO.6C-II-.BL	MO.6C-II-.BM	MO.6C-II+.BL	MO.6C-IIINT.BL
Myo1c	9.389616211	9.126011692	9.407834603	9.575568239	10.26995102	10.03878834	9.174058557	10.242441
Myo1d	4.827387167	5.502018655	5.331671781	5.026322032	5.449125529	5.223001574	5.140884973	4.930047517
Myo1e	5.238115534	5.894338402	7.783879168	5.535709805	5.371905556	5.812293701	5.700696329	5.494982592
Myo1f	11.68797202	11.5624095	11.14278046	11.37615663	11.82262408	11.84656697	10.78868767	11.87210594
Myo1h	6.807413315	6.822217722	6.471117535	6.256863474	5.94679869	6.039977674	6.002923003	5.983949428
Myo3b	5.28019172	5.507140259	5.397083032	5.58759302	5.459880751	5.333293723	5.455241725	5.236281365
Myo5a	9.833960407	7.373686778	8.756956108	9.251875281	8.488980076	6.663966484	8.219377164	8.641977516
Myo6	4.338139128	4.813594805	4.747629082	4.602638991	4.518443866	4.506625214	4.998768675	4.486252276
Myo9a	8.540160593	6.357520922	7.56333332	8.416010145	7.376740547	5.631279902	7.339144067	7.720250826
Myof	8.737311461	6.684779939	7.967855853	9.182231948	6.388565836	6.038752951	7.659014383	6.576406343
Myom1	5.022231675	5.111171846	5.119428116	5.432437226	5.461533471	5.192615022	5.413235259	5.372140702
Mzt1	7.997532724	7.913226724	6.985767572	7.120109978	7.620362805	7.018549981	6.57439674	7.974633129
N28178	6.335040135	6.669463364	6.550596994	6.528645285	6.464236145	6.708894888	6.887783568	6.245419982
Naa38	7.008836441	7.892029092	7.587689521	7.395511286	7.334690277	7.255172438	6.502679075	7.729928757
Naa50	8.595570544	8.63498247	8.25449295	8.383866983	8.505163883	8.028519979	7.398058302	8.912807681
Naaa	11.97640307	11.13349779	10.23591314	11.45188941	10.25234463	10.1495315	11.11083931	10.23669504
Naalad2	3.284454908	3.571733433	3.495946675	3.383925431	3.494255587	3.46876576	4.103615132	3.295537901
Nab2	7.881670125	7.899073492	8.463884117	8.893746154	8.272823142	7.981561003	8.950314577	8.062264105
Nadk	11.2103956	11.28044837	11.44612776	11.05723307	11.80083638	11.85289821	10.65651581	11.88411855
Naga	9.902690051	10.78162331	9.723994719	10.0209293	11.03968357	11.0856462	10.30105423	10.99139003
Naglu	7.329527279	8.32628551	7.205477882	7.130083491	7.254856192	8.210274883	6.766231395	7.309133795
Naip1	5.539412166	5.60430859	5.884958468	5.547422066	5.679660249	6.010158445	5.130650868	6.374353032
Naip2	10.21920773	9.173490844	9.53893974	9.715631842	10.06387156	9.065184621	8.230931172	10.25789039
Naip5	9.74380234	8.059794912	8.967677397	9.019651511	9.892926245	8.525015288	7.561971416	10.12913719
Naip6	9.777044965	7.794054714	8.794904047	9.122890187	10.18712674	8.480743894	8.18760644	10.16658069
Nanos1	5.374666252	5.925015931	5.788826633	5.718094893	5.646426225	6.050443652	6.018746547	5.7833304
Napb	4.811119905	4.756642604	4.671882107	4.827048365	4.56920549	4.820424072	5.181225819	4.705799903
Napsa	10.69567982	11.30336778	11.22786405	10.78694368	11.01004417	11.51326244	10.97414141	11.17941024
Nav1	8.606703407	7.876773949	8.840022553	8.797118927	8.838980122	8.225195224	8.776738318	8.892796211
Nav2	5.930634847	6.270150777	5.94346973	5.755247241	5.996057639	6.140420118	6.017760486	5.783828543
Nbea	4.682176239	5.05601842	4.759489654	4.633634638	4.794639402	4.868927063	5.218077857	4.640435837
Nbeal2	8.365436361	9.172454679	8.150397879	8.373702581	8.442783879	8.957333086	8.349506822	8.419322892
Ncapd2	6.562915525	10.19746224	7.026148634	6.404316181	6.963215155	9.46222175	6.722784311	6.969645305
Ncapg	4.883601267	7.270759095	5.111917418	4.943799456	4.758838811	5.875348402	5.122088732	4.611370707
Ncapg2	6.288298264	7.195478842	5.183372703	6.284454908	5.550852964	5.872130221	5.252215052	5.87362227
Ncaph	5.61589688	8.710052753	6.000290013	6.175849244	6.27242917	7.588995902	5.931187814	6.107074342
Nceh1	7.727849679	7.771369295	7.234227621	7.396173192	6.697538234	7.057092803	6.989412666	6.891267521
Ncf2	11.2996548	11.24147089	11.03261828	11.19745565	11.200685	11.18378097	10.86106399	11.21435488
Nck2	5.401058126	5.72673587	6.026155276	5.544116464	5.985019907	5.698494468	5.857849157	6.154418351
Nckap1	5.05165487	5.278952416	5.381471427	5.774688681	5.073121848	5.314134563	5.726091428	5.612377861
Ncoa7	8.136161815	6.646161696	7.25905525	7.669190033	7.316346706	6.275325583	7.15107186	7.54930229
Ncr1	4.238050551	4.690204755	4.676959399	4.366916657	4.570481147	4.551995811	4.300574039	4.344775957
Ncs1	4.829600973	5.060730513	4.514991193	4.856432999	4.826492558	5.670954552	5.029737774	4.582126021
ND3	9.271256258	10.82619007	10.1398567	9.300626276	9.312175725	10.24710635	8.783793192	9.814542124
Ndc80	5.460947837	6.432933804	5.75668085	5.505778744	6.285300487	5.754675535	6.276552496	6.32101855
Ndn	5.270411828	5.633321735	5.496243956	5.538658176	5.335854801	5.764602705	5.830014415	5.230956142
