	B.FO.LN	B.FO.MLN	B.FO.PC	B.FO.SP	B.FRE.BM	B.FRE.FL	B.FRF.BM	B.GC.SP	B.MZ.SP	B.T1.SP	B.T2.SP	B.T3.SP	B1A.PC	B1A.SP	B1B.PC	MLP.BM	MLP.FL	PREB.FRC.BM	PREB.FRD.BM	PREB.FRD.FL	PROB.CLP.BM	PROB.CLP.FL	PROB.FRA.BM	PROB.FRA.FL	PROB.FRBC.BM	PROB.FRBC.FL
Ccr5	4.838041604	5.393318947	5.173960235	5.05729863	5.32981248	6.224524617	5.1958397	5.033769501	5.828582503	5.482731065	5.657364663	5.453108176	5.977246336	5.384104506	6.665646691	5.522345345	6.072445277	5.305043923	5.086831878	5.161199753	5.651073702	6.185287766	5.58865168	6.540091866	4.78422477	5.26032054
Ccr6	9.388237226	9.765876705	8.441902418	9.860321765	5.939906697	7.014991242	9.359345974	5.783976923	8.789635364	6.762286797	7.956856443	8.737001887	6.20417072	6.599732866	8.380613444	5.019655217	5.06010072	5.050228863	5.1843451	5.051834653	5.412448471	5.049216892	5.321356314	5.228554493	5.166486491	4.972055399
Ccr7	10.05179555	9.70082687	10.52885564	9.85119887	8.989937413	8.782560913	9.739494798	6.142439988	8.544331723	9.494304329	9.482446381	9.852244739	8.7458306	9.457033024	8.511851334	6.866433264	6.274580982	8.313815113	8.863678739	8.528202211	7.496856706	7.116277414	7.538312337	7.713150257	7.703939323	7.411352234
Ccr8	4.494949961	4.573053326	4.531408494	4.453532943	4.456407535	4.425470495	4.733046967	4.341570711	4.480088437	4.503208784	4.59454855	4.412307322	4.780952204	4.446657658	4.450115897	4.257563218	4.342369846	4.578767672	4.451189128	4.393949264	4.536846579	4.508511054	4.83828748	4.559263379	4.425645046	4.443984514
Ccr9	5.190063671	5.106547936	5.595144573	5.422466253	5.106426494	5.168021526	5.74582892	5.064295114	5.445139584	5.751340528	5.708757431	5.874561742	7.875955926	7.756531416	6.474887558	7.908976786	6.845970034	5.135478778	5.018542193	5.308109637	8.24333967	8.660971982	8.338808571	9.71552763	4.904135625	5.341468713
Ccrl1	5.413138768	5.427562596	5.51034379	5.406297426	5.43406327	5.316714162	5.628425612	8.257256768	5.601406324	5.411581038	5.454314101	5.313862566	5.343629303	5.311885729	5.4162689	5.317930805	5.000581469	5.140080584	5.515322428	5.137006146	5.24615216	5.051795508	5.633903409	5.109601546	5.125348029	5.204594618
Ccrl2	6.028281822	5.777132989	5.803751417	5.858752713	5.67592317	5.534323117	5.938947542	5.389943038	5.866178536	5.68420159	5.54224257	5.784900024	5.921763991	5.88653267	5.711027699	6.221424718	6.158512748	5.556925965	6.023623521	5.797307887	5.877333629	5.899801597	5.885611578	5.574368985	5.73243745	5.702855134
Cct3	8.423034369	8.842649224	8.336885278	9.188570137	8.674873253	9.385793319	8.653763943	9.832050307	9.319007892	8.61955338	9.160944719	9.270713784	9.441706795	9.689368038	9.370722421	10.19917164	10.89894057	10.17068531	8.845245817	9.305069847	9.879458987	10.66222138	9.417663465	10.59132165	9.839772354	10.65207168
Cd101	5.505565461	5.362569244	5.880894454	5.247421216	5.662199802	5.231803582	5.805099808	5.53308777	5.507937317	5.379423424	5.344484112	5.411603634	5.561587847	5.45824692	5.419019698	5.307194433	5.182807486	5.229694301	5.408896375	5.137741221	6.814406865	5.270822933	6.918601203	5.147972801	5.369674695	5.182871034
Cd109	4.604643661	4.618222991	4.688314661	4.426763461	4.514334808	4.528477553	4.738400362	4.274274088	4.455099221	4.446995036	4.358851018	4.477813302	4.570956698	4.449253214	4.41070517	4.236079267	4.341592059	4.327227468	4.6079339	4.241008793	4.299161607	4.232624945	4.488293266	4.314655443	4.319220503	4.370712977
